fromNode,toNode,weight
RANBP9,SOS1,0.8
RANBP9,MPHOSPH8,0.476
RANBP9,TRAF6,0.483
RANBP9,ARMC8,0.864
UBR7,H3C1,0.457
QPCTL,CAMK1D,0.44
XYLT2,POMK,0.454
XYLT2,GRB2,0.876
MAP4K5,GRB2,0.784
MAP4K5,CRK,0.739
COX15,SFXN4,0.422
COX15,TMEM65,0.422
COX15,CLN3,0.541
COX15,SLC25A24,0.422
COX15,SLC25A19,0.422
COX15,COX10,0.67
UBR7,H4C6,0.457
UBR7,H3C12,0.457
RB1CC1,RPTOR,0.555
COX15,SFXN1,0.57
COX15,UQCRB,0.54
COX15,COX7B,0.563
RB1CC1,PRKAG2,0.499
COX15,SCO1,0.606
RB1CC1,ATG12,0.93
RB1CC1,PTK2B,0.971
COX15,NDUFS4,0.522
COX15,BCS1L,0.72
RB1CC1,TBK1,0.537
RB1CC1,RRAGD,0.499
RB1CC1,OFD1,0.402
RB1CC1,PRKAA1,0.499
RB1CC1,SMARCB1,0.653
RB1CC1,GABARAP,0.831
RB1CC1,PRKAB2,0.549
RB1CC1,AZI2,0.528
RB1CC1,ATG5,0.652
RB1CC1,ULK2,0.997
RB1CC1,TP53,0.969
RB1CC1,C9orf72,0.964
RB1CC1,ATG14,0.734
AKAP11,PRKAR2A,0.489
AKAP11,FGD5,0.473
RB1CC1,RRAGC,0.499
AKAP11,ETFB,0.471
AKAP11,KLHL28,0.42
AKAP11,PRKACB,0.654
BOD1L1,WDR5B,0.54
BOD1L1,DPY30,0.54
RCN1,ERP44,0.42
MRI1,LRRC40,0.68
BOD1L1,RBBP5,0.806
BOD1L1,SKA2,0.54
BOD1L1,BOD1,0.598
PPP1R3F,PPP1R3E,0.9
BOD1L1,WDR5,0.76
FAM168A,POLR2B,0.479
FAM168A,WWP1,0.446
FAM168A,UBASH3B,0.452
FAM168A,POLR2A,0.42
FAM168A,POLR2C,0.473
FAM168A,POLR2D,0.479
FAM168A,POLR2G,0.446
PPP1R3F,PPP1R15B,0.54
PPP1R3F,SHOC2,0.54
FAM168A,POLR2I,0.431
PPP1R3F,NCK1,0.54
MRPS35,SOD2,0.416
MRPS35,GFM1,0.809
MRPS35,MRPL15,0.847
ARHGEF5,HSPBAP1,0.426
MRPS35,MCAT,0.838
MRPS35,MRPL36,0.947
MRPS35,MRPL44,0.944
MRPS35,MRPS9,0.998
MRPS35,LARP7,0.457
MRPS35,RPS2,0.557
MRPS35,MRPL58,0.865
MRPS35,MRPS18C,0.977
MRPS35,MRPL3,0.947
ARHGEF5,GRB2,0.656
MRPS35,MRPS30,0.959
NFE2L3,MAFF,0.528
MRPS35,RPS5,0.402
MRPS35,MRPL22,0.947
MRPS35,MRPS31,0.995
MRPS35,MRNIP,0.402
MRPS35,MRPS14,0.991
MRPS35,MRPS25,0.992
MRPS35,MRPL27,0.944
RCN1,COPG2,0.429
RCN1,LTV1,0.612
MRPS35,MED1,0.459
MRPS35,RPL11,0.487
MRPS35,MRPL23,0.947
MRPS35,RPL9,0.459
MRPS35,MRPL13,0.947
MRPS35,MRPS23,0.991
MRPS35,MRPL2,0.908
MRPS35,MRPS36,0.8
RCN1,TRIM33,0.42
MRPS35,TRMT10B,0.536
MRPS35,RPS11,0.72
MRPS35,RPL4,0.443
MRPS35,MRPL48,0.807
MRPS35,MRPL45,0.8
MRPS35,RPS18,0.725
MRPS35,MTIF3,0.9
MRPS35,RPS9,0.595
MRPS35,PPP1R26,0.482
MRPS35,MRPL1,0.8
MRPS35,MRPL50,0.83
MRPS35,MRPS22,0.99
MRPS35,PSMG1,0.403
MRPS35,RPS14,0.417
MRPS35,MRPL17,0.947
MRPS35,MRPL19,0.947
MRPS35,MRPL47,0.947
MRPS35,RPS29,0.4
MRPS35,CUL7,0.485
MRPS35,MRPL30,0.889
MRPS35,MRPS12,0.989
MRPS35,RPS13,0.402
MRPS35,RPL17,0.456
MRPS35,RPL23,0.723
MRPS35,MTIF2,0.9
MRPS35,MRPS27,0.986
MRPS35,MRPL12,0.8
MRPS35,MRPS11,0.995
MRPS35,MRPL35,0.807
APPBP2,ELOB,0.93
MRPS35,MRPL32,0.944
MRPS35,RPS23,0.499
MRPS35,MRPL39,0.817
MRPS35,MRPS33,0.985
APPBP2,ELOC,0.793
APPBP2,CUL2,0.952
APPBP2,FEM1C,0.9
APPBP2,KLHDC10,0.9
APPBP2,ZSWIM6,0.54
APPBP2,COMMD1,0.9
APPBP2,FEM1B,0.9
APPBP2,COPS2,0.547
APPBP2,ZSWIM4,0.54
GPKOW,SNRPD2,0.8
GPKOW,SNRPG,0.8
GPKOW,BUD13,0.939
GPKOW,PRPF8,0.936
GPKOW,CTF1,0.416
GPKOW,RBM48,0.8
GPKOW,CWC22,0.958
GPKOW,EFTUD2,0.8
APPBP2,ZYG11B,0.9
GPKOW,WDR77,0.487
APPBP2,RBX1,0.9
GPKOW,WDR83,0.487
GPKOW,PRPF4,0.694
GPKOW,SNRPB,0.8
GPKOW,MTREX,0.8
GPKOW,CRNKL1,0.8
GPKOW,SNRPF,0.8
GPKOW,PPIL1,0.8
GPKOW,SNRPE,0.8
GPKOW,SNRPD1,0.8
GPKOW,CDC5L,0.8
GPKOW,PPIL3,0.8
GPKOW,SF3B6,0.8
GPKOW,CRIPT,0.8
GPKOW,RBMX2,0.8
GPKOW,MFAP1,0.8
YTHDC2,XRN1,0.972
GPKOW,SNRPD3,0.8
GPKOW,CWC27,0.958
YTHDC2,LARP7,0.429
GPKOW,CDC40,0.8
GPKOW,DDX39B,0.8
REXO1,REXO2,0.9
GOLGA5,MAN1A2,0.499
GOLGA5,COG7,0.919
GOLGA5,COG5,0.565
REXO1,PCNA,0.516
REXO1,PAN3,0.44
PYGM,AGL,0.9
MKRN2,PAIP1,0.615
FSTL3,GDF11,0.664
MKRN2,TP53,0.426
MKRN2,RACK1,0.457
GPATCH1,WDR83,0.681
GPATCH1,DNAJC17,0.459
GPATCH1,KIAA1143,0.595
GPATCH1,EFTUD2,0.559
GPATCH1,BCAS2,0.44
GPATCH1,SNRPG,0.42
GPATCH1,SNRPN,0.45
GPATCH1,PPIL1,0.48
GPATCH1,SNRPF,0.422
GPATCH1,SNRPE,0.468
TNS1,BCAR1,0.427
ERLEC1,UBC,0.499
HEATR6,ESR1,0.549
HSPB11,IFT57,0.992
ERLEC1,FAM8A1,0.861
ERLEC1,UBB,0.499
ERLEC1,FBXL4,0.55
ERLEC1,ERLIN1,0.499
ERLEC1,EDEM3,0.47
ERLEC1,UBA52,0.499
ERLEC1,RPS27A,0.499
TMEM38A,PCP2,0.465
ACTR6,INO80D,0.54
ACTR6,UCHL5,0.54
ACTR6,YEATS4,0.608
ACTR6,CFDP1,0.688
ACTR6,CARD8,0.456
ACTR6,INO80,0.558
ACTR6,H2BC8,0.508
ACTR6,RUVBL1,0.99
ACTR6,INO80C,0.54
ACTR6,ACTR8,0.54
ACTR6,SRCAP,0.991
ACTR6,ANP32E,0.685
ACTR6,ING3,0.54
ACTR6,ACTR5,0.54
ACTR6,ACTL6A,0.66
ACTR6,H2AZ1,0.57
ACTR6,TFPT,0.54
HSPB11,FAM89B,0.49
HSPB11,CDC27,0.507
UHRF1BP1,UHRF1,0.454
HSPB11,IFT52,0.997
HSPB11,IFT20,0.958
HSPB11,ANAPC4,0.628
RRN3,POLR2E,0.928
OXCT1,AACS,0.9
RRN3,TAF1C,0.828
RRN3,ZNRD1,0.97
RRN3,GTF2H5,0.499
RRN3,UBA52,0.546
RRN3,GTF2H1,0.499
RRN3,POLR2H,0.928
RRN3,ERCC2,0.499
RRN3,GTF2H4,0.633
RRN3,ERCC3,0.499
RRN3,POLR2F,0.964
RRN3,POLR2K,0.928
DIMT1,RPS27,0.844
RRN3,CCNH,0.499
RRN3,POLR1C,0.992
DIMT1,RPS4X,0.829
DIMT1,BYSL,0.919
RRN3,POLR2L,0.96
DIMT1,TSR1,0.896
RRN3,TRIM28,0.654
DIMT1,RPS16,0.879
DIMT1,WDR36,0.862
DIMT1,RPS24,0.847
DIMT1,RPS13,0.894
DIMT1,DNTTIP2,0.862
DIMT1,RPS3A,0.862
DIMT1,SNU13,0.862
DIMT1,RPS5,0.862
RRN3,GTF2H2,0.499
DIMT1,RPS14,0.847
DIMT1,RPS23,0.858
RRN3,TBP,0.895
DIMT1,RPS27A,0.8
RRN3,POLR1B,0.995
DIMT1,UTP3,0.862
DIMT1,RPS17,0.862
RRN3,POLR1E,0.98
RRN3,MNAT1,0.499
DIMT1,RPS19,0.875
DIMT1,HEATR1,0.866
RRN3,POLR1A,0.991
DIMT1,PNO1,0.862
DIMT1,UTP6,0.862
DIMT1,DCAF13,0.862
DIMT1,RPS8,0.862
DIMT1,MPHOSPH10,0.862
RRN3,TAF1D,0.565
DIMT1,WDR3,0.862
DIMT1,FAU,0.827
RRN3,CDK7,0.499
DIMT1,RPS9,0.862
DIMT1,WDR43,0.862
RRN3,GTF2H3,0.499
DIMT1,UTP11,0.862
DIMT1,RPS6,0.883
ZW10,SCFD2,0.748
DIMT1,RPS18,0.865
DIMT1,RPS7,0.862
DIMT1,RIOK2,0.523
DIMT1,RCL1,0.862
ZW10,COPG2,0.499
DIMT1,WDR75,0.862
ZW10,NBAS,0.973
ZW10,TMED3,0.499
DIMT1,RPS11,0.891
ZW10,TMED7,0.499
DIMT1,RPS12,0.883
ZW10,VAMP4,0.534
DIMT1,RPS2,0.45
TRIP6,TENT5A,0.409
DIMT1,NOL11,0.8
DIMT1,BMS1,0.862
DIMT1,UTP4,0.862
DIMT1,UTP14A,0.915
DIMT1,RPS28,0.847
DIMT1,RPS15A,0.872
TRIP6,LPAR2,0.674
TRIP6,BCAR1,0.826
PDRG1,POLR2E,0.966
PDRG1,POLR2H,0.459
PPP1R13B,TP53,0.943
PDRG1,RUVBL1,0.854
PPP1R13B,LATS2,0.457
PDRG1,PSMG1,0.54
TRMT6,TRMT10C,0.54
PDRG1,TSC1,0.54
PDRG1,ASB7,0.429
PDRG1,KDM6A,0.456
TRMT6,H4C6,0.42
PDRG1,BAG3,0.54
TRMT6,WDR4,0.54
TFAP4,BRD4,0.457
TFAP4,UHRF2,0.457
TFAP4,BTRC,0.457
TFAP4,FBXW11,0.457
KLHL20,ENC1,0.9
PDRG1,HSP90AB1,0.54
PDRG1,VBP1,0.713
PDRG1,DNAJC9,0.54
PDRG1,DNAAF2,0.54
PDRG1,POLR3D,0.532
PDRG1,WDR92,0.988
PDRG1,POLR1A,0.42
EFNB1,EPHB4,0.978
EFNB1,GIT1,0.652
EFNB1,NCK1,0.403
EFNB1,SRC,0.637
NAT14,SNRPE,0.44
NAT14,NAA35,0.532
EFNB1,EPHA1,0.977
EFNB1,EFNA4,0.499
EFNB1,EPHB1,0.991
KLHL20,CUL3,0.999
KLHL20,KBTBD7,0.9
KLHL20,SPOPL,0.9
KLHL20,COMMD3,0.499
KLHL20,TNFAIP1,0.9
KLHL20,KCTD17,0.9
KLHL20,DCUN1D1,0.516
KLHL20,KLHL7,0.9
KLHL20,COMMD8,0.499
KLHL20,COMMD1,0.499
KLHL20,KLHL3,0.9
KLHL20,CORO7,0.457
KLHL20,PDCD6,0.72
KLHL20,RBX1,0.978
KLHL20,KLHL24,0.72
KLHL20,KLHL8,0.9
DHPS,RPL9,0.564
KLHL20,KLHL25,0.9
KLHL20,COMMD10,0.499
KLHL20,COMMD2,0.499
KLHL20,DCUN1D2,0.499
SIRT1,SETD7,0.726
SIRT1,H3-3B,0.499
SIRT1,TFAM,0.564
SIRT1,PPARG,0.94
SIRT1,EP300,0.635
SIRT1,RB1,0.739
TMEM14A,LRCH1,0.422
TMEM14A,USP18,0.456
TMEM14A,WLS,0.42
ZNF184,TRIM28,0.595
SIRT1,PER2,0.713
SIRT1,H3C12,0.499
SIRT1,H2AZ1,0.528
SIRT1,ATM,0.621
SIRT1,H2BC9,0.499
SIRT1,EED,0.589
SIRT1,ZEB1,0.659
SIRT1,ATG5,0.982
SIRT1,H2BC21,0.575
SIRT1,APEX1,0.65
SIRT1,NFKB1,0.448
SIRT1,HIC1,0.457
SIRT1,ARNTL,0.963
SIRT1,SUZ12,0.891
SIRT1,H2BC11,0.499
SIRT1,STAT3,0.457
SIRT1,MSC,0.406
SIRT1,H2AC6,0.499
SIRT1,H2BC4,0.529
SIRT1,H2AC20,0.499
SIRT1,CDC14A,0.985
SIRT1,ATG7,0.981
SIRT1,HSPA1L,0.529
SIRT1,TRIM28,0.457
SIRT1,SUV39H1,0.998
SIRT1,FOXO3,0.862
SIRT1,HDAC1,0.939
SIRT1,FOXP3,0.5
SIRT1,H4C6,0.502
SIRT1,TP53,0.95
SIRT1,CDKL1,0.435
SIRT1,ZNF346,0.444
SIRT1,RICTOR,0.457
SIRT1,H3C13,0.499
SIRT1,H2BC17,0.499
SIRT1,RECQL4,0.457
SIRT1,E2F1,0.613
TGFBR3,LATS2,0.44
SIRT1,CTNNB1,0.743
TGFBR3,TGFBR2,0.905
SIRT1,BRCA1,0.593
SIRT1,HSP90AA1,0.453
TGFBR3,RECK,0.406
SIRT1,DNMT1,0.741
SIRT1,NOS3,0.471
SIRT1,AKIP1,0.482
SIRT1,BRD4,0.578
SNRPD3,SNRPD2,0.999
SIRT1,XPA,0.524
TGFBR3,TGFBR1,0.885
TGFBR3,TGFB1,0.99
USP18,MAP3K7,0.716
USP18,IFNAR2,0.998
USP18,SKP2,0.457
SNRPD3,SNRNP48,0.884
SNRPD3,RNPC3,0.963
SNRPD3,BUD13,0.984
SNRPD3,WRAP53,0.72
SNRPD3,CRIPT,0.8
SNRPD3,MFAP1,0.983
SNRPD3,SF3B6,0.979
SNRPD3,KIN,0.8
SNRPD3,SMN1,0.945
SNRPD3,CWC22,0.984
SNRPD3,GEMIN8,0.917
SNRPD3,WBP4,0.983
SNRPD3,PPIL1,0.985
SNRPD3,RBM48,0.8
SNRPD3,SNRPB,0.999
SNRPD3,PRPF4B,0.8
USP18,UVRAG,0.457
SNRPD3,LSM3,0.995
SNRPD3,PRPF40A,0.54
SNRPD3,LSM6,0.989
SNRPD3,APEX1,0.445
SNRPD3,SNU13,0.986
SNRPD3,PRPF39,0.679
SNRPD3,CDC40,0.995
USP18,RPS27A,0.53
SNRPD3,GEMIN5,0.943
SNRPD3,SNRPE,0.999
SNRPD3,U2SURP,0.499
SNRPD3,PRPF18,0.624
SNRPD3,SDE2,0.8
SNRPD3,H4C6,0.457
SNRPD3,EFTUD2,0.997
SNRPD3,WDR70,0.8
SNRPD3,SNRPN,0.993
SNRPD3,NCBP1,0.932
SNRPD3,SNRPF,0.998
SNRPD3,SNRNP27,0.904
SNRPD3,PPIG,0.818
SNRPD3,LARP7,0.503
SNRPD3,GEMIN7,0.9
SNRPD3,NKAP,0.8
SNRPD3,SNRPA1,0.999
SNRPD3,NVL,0.72
SNRPD3,WDR77,0.967
SNRPD3,POLR2A,0.444
SNRPD3,TXNL4B,0.691
SNRPD3,ZCRB1,0.744
SNRPD3,RBMX2,0.984
SNRPD3,SMN2,0.904
SNRPD3,DDX39B,0.72
SNRPD3,WDR25,0.485
SNRPD3,PRPF31,0.993
SNRPD3,CWC27,0.985
SNRPD3,PPWD1,0.8
SNRPD3,DDX20,0.926
SNRPD3,HTATSF1,0.904
SNRPD3,CPSF3,0.8
SNRPD3,CRNKL1,0.994
SNRPD3,SNUPN,0.719
PDXP,HSP90AA1,0.626
SNRPD3,GAR1,0.72
SNRPD3,PRPF4,0.992
SNRPD3,CMTR2,0.469
SNRPD3,LSM5,0.991
SNRPD3,CWF19L2,0.89
SNRPD3,BCAS2,0.986
SNRPD3,PRPF8,0.996
SNRPD3,SNRPG,0.999
SNRPD3,SNRPD1,0.999
SNRPD3,CDC5L,0.996
PDXP,HSP90AB1,0.626
CENPM,H4C11,0.8
CENPM,H4C2,0.8
CENPM,CENPC,0.994
CENPM,H4C6,0.895
CENPM,H4C3,0.8
CENPM,H4C9,0.8
HSCB,PAM16,0.499
CENPM,H4C1,0.8
CENPM,H4C4,0.8
CENPM,H2BC8,0.8
CENPM,H4C5,0.8
CENPM,RUVBL1,0.499
CENPM,H4C13,0.8
CENPM,H4C15,0.8
HSCB,ACOT1,0.405
CENPM,H4-16,0.8
HSCB,PDHX,0.457
HSCB,TACO1,0.405
HSCB,ACAD9,0.405
HSCB,CTNNB1,0.697
CENPM,H2AC6,0.8
CENPM,H4C8,0.8
CENPM,H2BC4,0.8
HSCB,LYRM4,0.407
CENPM,H4C12,0.8
CENPM,MIS18BP1,0.499
CENPM,H4C14,0.8
HSCB,NT5DC2,0.407
HSCB,NDUFAF4,0.405
HSCB,NFS1,0.407
HSCB,GLS,0.405
HSCB,ALDH2,0.407
HSCB,GATC,0.407
HSCB,NDUFS7,0.405
HSCB,MRPL3,0.407
HSCB,EPRS1,0.562
HSCB,FASTKD2,0.407
HSCB,SUCLG2,0.457
HSCB,SUCLA2,0.407
HSCB,PDK1,0.407
HSCB,ACADSB,0.407
HSCB,VWA8,0.407
HSCB,PCNA,0.457
HSCB,PDE12,0.407
HSCB,MTIF2,0.407
HSCB,BCS1L,0.407
HSCB,HELZ,0.449
HSCB,ABCB7,0.457
HSCB,EARS2,0.407
HSCB,MMAB,0.407
HSCB,TIMM23,0.499
HSCB,ETFB,0.405
HSCB,GRPEL2,0.63
HSCB,TFAM,0.407
HSCB,MRPS36,0.407
HSCB,LYRM7,0.658
HSCB,NFU1,0.534
HSCB,PNPT1,0.457
HSCB,NDUFS4,0.407
HMGXB4,RSF1,0.72
HMOX1,HMOX2,0.9
HMOX1,FLVCR2,0.426
HMOX1,GET4,0.499
HMGXB4,CHRAC1,0.54
RBX1,E2F3,0.427
HMGXB4,H2AZ1,0.428
FAM118A,TNFSF13B,0.414
FAM118A,FAM118B,0.422
FAM118A,WDR4,0.587
BIK,PMAIP1,0.646
BIK,BCL2L2,0.906
RBX1,KLHL5,0.433
RBX1,POLR2H,0.895
RBX1,ERCC2,0.499
RBX1,ELOB,0.999
RBX1,BTBD1,0.612
RBX1,POLR2E,0.895
RBX1,RPS27A,0.951
RBX1,ZC3HC1,0.852
RBX1,H4C6,0.422
RBX1,LRR1,0.98
RBX1,POLR2L,0.895
RBX1,KLHL15,0.603
RBX1,KLHL3,0.945
RBX1,FBXO2,0.69
RBX1,DDB2,0.999
RBX1,ZYG11B,0.947
RBX1,NFKB1,0.499
RBX1,PDCD6,0.72
RBX1,KLHL25,0.904
RBX1,DCUN1D2,0.63
RBX1,POLR2I,0.895
RBX1,POLR2F,0.912
RBX1,DCAF4,0.937
RBX1,FBXL4,0.453
RBX1,POLR2C,0.895
RBX1,POLD3,0.499
RBX1,MAP3K6,0.408
RBX1,CUL2,0.999
RBX1,FBXW8,0.998
RBX1,ENC1,0.929
RBX1,RICTOR,0.878
RBX1,WDR5,0.499
RBX1,ELOC,0.999
RBX1,PCNA,0.499
RBX1,NEDD8,0.998
RBX1,KLHL24,0.839
RBX1,FBXW9,0.72
RBX1,SPOPL,0.9
RBX1,CLU,0.402
RBX1,KLHL8,0.911
RBX1,KLHDC10,0.909
RBX1,FBXW7,0.998
RBX1,POLR2J,0.895
RBX1,COMMD3,0.499
RBX1,CUL5,0.999
RBX1,TNFAIP1,0.933
RBX1,CTNNB1,0.63
RBX1,MCM6,0.8
RBX1,FBXL17,0.799
RBX1,GTF2H3,0.499
RBX1,FBXO30,0.463
RBX1,ANKRD9,0.9
RBX1,GTF2H4,0.499
RBX1,XPA,0.499
RBX1,RPA3,0.499
RBX1,RFC1,0.499
RBX1,CDC73,0.8
RBX1,RFC5,0.499
RBX1,FBXL18,0.927
RBX1,KCTD17,0.973
RBX1,UBC,0.951
RBX1,PPP2R1B,0.499
RBX1,BTRC,0.999
RBX1,UBXN7,0.802
RBX1,COMMD8,0.499
RBX1,POLR2D,0.895
RBX1,DCAF16,0.9
RBX1,POLR2K,0.895
RBX1,CUL7,0.999
RBX1,SPHK1,0.426
RBX1,APC,0.499
RBX1,MNAT1,0.499
RBX1,FEM1C,0.913
RBX1,MCM2,0.8
RBX1,FBXO41,0.4
RBX1,CCNH,0.499
RBX1,MCM4,0.8
RBX1,POLR2A,0.916
RBX1,GTF2H2,0.499
RBX1,COMMD1,0.9
RBX1,GTF2H1,0.499
RBX1,UBA52,0.947
RBX1,UVRAG,0.457
RBX1,COPS4,0.987
RBX1,CDK2,0.878
RBX1,ZSWIM4,0.54
RBX1,NFKBIA,0.895
RBX1,ACVR1,0.414
RBX1,TIMELESS,0.8
RBX1,LEO1,0.8
RBX1,SKP2,0.999
RBX1,COMMD2,0.499
RBX1,COMMD10,0.499
RBX1,FBXL16,0.453
RBX1,FEM1B,0.958
RBX1,POLR2B,0.914
RBX1,FBXO21,0.71
RBX1,UVSSA,0.8
RBX1,UBB,0.951
RBX1,ERCC3,0.499
RBX1,CUL3,0.999
RBX1,WDR61,0.8
RBX1,HSP90AB1,0.44
RBX1,RBBP5,0.499
RBX1,POLR2G,0.895
RBX1,TP53,0.422
RBX1,FBXO3,0.538
RBX1,GTF2H5,0.499
RBX1,FBXO32,0.664
RBX1,CUL4B,0.999
RBX1,FBXW11,0.965
RBX1,ZSWIM6,0.54
RBX1,COPS8,0.956
RBX1,ZBTB16,0.568
RBX1,FBXO25,0.551
RBX1,DCUN1D1,0.983
RBX1,CDK7,0.499
HDAC10,H2BC21,0.653
RBX1,KLHL7,0.929
RBX1,FBXL8,0.453
RBX1,DCAF13,0.959
RBX1,COPS2,0.969
HDAC10,NCOR2,0.866
HDAC10,H2AC20,0.65
HDAC10,H2BC11,0.653
RBX1,KBTBD7,0.932
HDAC10,H2AC6,0.65
RBX1,TCHP,0.582
FKBP3,HDAC2,0.844
HDAC10,H2AZ1,0.65
CTSG,MMP9,0.969
CTSG,HMGB1,0.41
CTSG,AGER,0.501
CTSG,LTF,0.979
CTSG,BPI,0.739
CTSG,AZU1,0.868
CTSG,ELANE,0.988
CTSG,MPO,0.982
SOS2,GRB2,0.999
FKBP3,MDM2,0.703
HDAC10,H2BC9,0.653
HDAC10,H2BC17,0.653
SOS2,CRK,0.483
HDAC10,HDAC2,0.5
SOS2,FRS2,0.837
SOS2,PTPN11,0.856
FKBP3,HDAC1,0.895
HDAC10,H2BC4,0.653
PIGH,IL18RAP,0.414
VRK1,TP53,0.457
CHGA,SOD1,0.555
CHGA,PLG,0.457
SOS2,NCK1,0.593
SOS2,SOS1,0.938
SOS2,IL15RA,0.499
SOS2,GAB1,0.544
SOS2,EGFR,0.898
VRK1,H4C13,0.8
VRK1,H2AC11,0.9
VRK1,H2BC21,0.943
VRK1,H4C14,0.8
VRK1,H4C6,0.852
VRK1,H4C12,0.8
VRK1,MAD1L1,0.551
VRK1,H4C9,0.8
VRK1,H4C11,0.8
VRK1,BORCS5,0.41
VRK1,H2BC8,0.916
VRK1,H3C13,0.8
VRK1,H4C15,0.8
VRK1,H4C5,0.8
VRK1,H2BC4,0.903
VRK1,H4-16,0.8
VRK1,H4C8,0.8
VRK1,H3-4,0.457
VRK1,COIL,0.457
VRK1,ANKLE2,0.7
VRK1,H3C14,0.852
APEX1,H4C13,0.8
VRK1,H4C1,0.8
APEX1,H4C4,0.8
APEX1,H4C12,0.8
APEX1,H4C3,0.8
APEX1,LIG3,0.751
APEX1,H4C2,0.8
APEX1,PCNA,0.631
APEX1,H4C6,0.8
APEX1,H4C14,0.8
APEX1,FCGR2A,0.67
APEX1,TERF1,0.523
APEX1,CREB1,0.45
VRK1,H4C4,0.8
APEX1,H3C15,0.8
VRK1,H4C2,0.8
APEX1,EP300,0.806
VRK1,H4C3,0.8
VRK1,H3C15,0.8
VRK1,CREB1,0.555
APEX1,STAT3,0.517
APEX1,H3C14,0.8
APEX1,H2BC21,0.8
APEX1,H2AC11,0.8
APEX1,H4C1,0.8
APEX1,POLD3,0.499
APEX1,H4-16,0.8
APEX1,NME1,0.918
APEX1,H4C15,0.8
APEX1,RECQL4,0.538
APEX1,ESR1,0.555
VRK1,BRD4,0.457
APEX1,H4C5,0.8
APEX1,H2BC4,0.8
APEX1,H4C8,0.8
APEX1,TXN,0.962
APEX1,H2BC8,0.8
APEX1,H4C11,0.8
APEX1,RPA3,0.518
APEX1,GADD45A,0.9
APEX1,H4C9,0.8
APEX1,RFC1,0.528
NFKBIA,TBK1,0.561
APEX1,RFC5,0.499
APEX1,TP53,0.833
APEX1,H3C13,0.8
NFKBIA,NFKB1,0.999
NFKBIA,CSNK2B,0.564
NFKBIA,PRKACB,0.437
NFKBIA,UBC,0.947
NFKBIA,NEDD8,0.8
NFKBIA,BTRC,0.998
NFKBIA,UBA52,0.947
NFKBIA,COMMD1,0.457
NFKBIA,EP300,0.457
NFKBIA,TRAF6,0.553
NFKBIA,NCOR2,0.457
NFKBIA,UBB,0.947
NFKBIA,REL,0.996
NFKBIA,CREBBP,0.546
NFKBIA,TGM2,0.457
NFKBIA,HOXB7,0.578
NFKBIA,PIK3R1,0.663
NFKBIA,FBXW11,0.746
NFKBIA,TP53,0.548
NFKBIA,RPS3,0.473
SNTA1,PLCB2,0.429
NFKBIA,ANKRD27,0.449
NFKBIA,RPS27A,0.976
PROCR,F2R,0.886
PROCR,SCARB1,0.656
PROCR,NSL1,0.758
PROCR,CD177,0.499
PROCR,CD36,0.657
MYBL2,HDAC2,0.443
MYBL2,CDK6,0.42
MYBL2,LIN37,0.985
MYBL2,E2F3,0.457
MYBL2,LIN52,0.996
MYBL2,TP53,0.476
MYBL2,CREBBP,0.635
MYBL2,RBL1,0.489
MYBL2,CDK9,0.587
MYBL2,CDK2,0.457
MYBL2,LIN54,0.991
CSTF1,CPSF6,0.611
CSTF1,NCBP1,0.499
CSTF1,DNAAF5,0.42
CSTF1,TTC27,0.445
